month,percent_full,conservation_storage
2010 Jan,82.18387096774194,311313.2580645161
2010 Feb,96.30357142857143,364764.5
2010 Mar,100,378781
2010 Apr,100,378781
2010 May,100,378781
2010 Jun,100,378781
2010 Jul,100,378781
2010 Aug,98.91290322580645,374660.6451612903
2010 Sep,99.29310344827586,376108.5862068966
2010 Oct,99.75483870967741,377849.8064516129
2010 Nov,98.81333333333333,374277.9
2010 Dec,97.76774193548387,370333.51612903224
2011 Jan,97.54516129032258,369490.1612903226
2011 Feb,96.94285714285715,367184.8214285714
2011 Mar,95.84838709677419,363044.6451612903
2011 Apr,94.41,357608.6666666667
2011 May,93.07096774193549,352532.06451612903
2011 Jun,91.21,345510.6
2011 Jul,88.99354838709678,337088.87096774194
2011 Aug,86.28709677419354,326839.8064516129
2011 Sep,83.51666666666667,316327.7
2011 Oct,81.53870967741935,308882.2580645161
2011 Nov,79.73,301999.0333333333
2011 Dec,79.25806451612904,300229.96774193546
2012 Jan,79.08709677419355,299568.12903225806
2012 Feb,80.37586206896552,304466.9655172414
2012 Mar,82.59032258064516,312802.3548387097
2012 Apr,85.96666666666667,325679.0333333333
2012 May,88.5,335239.1935483871
2012 Jun,90.02,340976.3333333333
2012 Jul,88.9483870967742,336937.06451612903
2012 Aug,87.28387096774193,330617.5806451613
2012 Sep,85.37,323400.5
2012 Oct,84.78709677419354,321161.4516129032
2012 Nov,83.48333333333333,316198.8333333333
2012 Dec,82.37741935483871,312079.0967741936
2013 Jan,82.05483870967741,310781.12903225806
2013 Feb,81.80357142857143,309910.5
2013 Mar,81.15161290322581,307359.77419354836
2013 Apr,80.58333333333333,305253.43333333335
2013 May,80.34516129032258,304354.4193548387
2013 Jun,81.53666666666666,308837.8333333333
2013 Jul,80.35483870967742,304356.0967741936
2013 Aug,78.50967741935484,297384.77419354836
2013 Sep,76.55333333333333,289984.43333333335
2013 Oct,76.69677419354839,290539.6129032258
2013 Nov,84.84666666666666,321330.7
2013 Dec,84.58064516129032,320357.12903225806
2014 Jan,84.10967741935484,318609.67741935485
2014 Feb,83.58571428571429,316615.96428571426
2014 Mar,83.10645161290323,314804.8064516129
2014 Apr,82.28,311674.76666666666
2014 May,81.61290322580645,309125.2580645161
2014 Jun,83.35,315701.6666666667
2014 Jul,82.0741935483871,310882.1612903226
2014 Aug,79.93548387096774,302783.1935483871
2014 Sep,78.20666666666666,296232.7
2014 Oct,76.98064516129033,291586.96774193546
2014 Nov,76.21666666666667,288686.8
2014 Dec,75.87096774193549,287374.2580645161
2015 Jan,75.85161290322581,287280.2580645161
2015 Feb,77.22142857142858,292525.71428571426
2015 Mar,77.57096774193549,293823.4193548387
2015 Apr,78.42,297037.3333333333
2015 May,86.72413793103448,328481.275862069
2015 Jun,100,378781
2015 Jul,100,378781
2015 Aug,99.13870967741936,375536.6451612903
2015 Sep,96.03,363755.1666666667
2015 Oct,94.11935483870968,356515.06451612903
2015 Nov,100,378781
2015 Dec,100,378781
2016 Jan,99.91935483870968,378475.8387096774
2016 Feb,99.73793103448276,377791.1379310345
2016 Mar,100,378781
2016 Apr,100,378781
2016 May,100,378781
2016 Jun,100,378781
2016 Jul,100,378781
2016 Aug,100,378781
2016 Sep,99.82333333333334,378112.23333333334
2016 Oct,99.90967741935484,378414.77419354836
2016 Nov,99.93,378490.3333333333
2016 Dec,99.98064516129033,378714.67741935485
2017 Jan,100,378781
2017 Feb,100,378781
2017 Mar,100,378781
2017 Apr,100,378781
2017 May,99.71290322580646,377717.2580645161
2017 Jun,99.27666666666667,376036.0333333333
2017 Jul,97.43870967741935,369085.3870967742
2017 Aug,95.7258064516129,362586.1935483871
2017 Sep,94.86333333333333,359333.23333333334
2017 Oct,94.42903225806452,357619.3548387097
2017 Nov,93.25666666666666,353261.93333333335
2017 Dec,92.9,351896.87096774194
2018 Jan,92.34516129032258,349794.8064516129
2018 Feb,91.90714285714286,348068.60714285716
2018 Mar,91.97096774193548,348332.8387096774
2018 Apr,92.56666666666666,350605.9666666667
2018 May,92.20645161290322,349270.70967741933
2018 Jun,90.72666666666666,343635.7
2018 Jul,88.90967741935484,336803.3548387097
2018 Aug,86.55806451612904,327877.6129032258
2018 Sep,89.64333333333333,339523.9
2018 Oct,98.32903225806452,372460.67741935485
2018 Nov,100,378781
2018 Dec,100,378781
2019 Jan,100,378781
2019 Feb,100,378781
2019 Mar,100,378775.3448275862
2019 Apr,99.96000000000001,378613.12
2019 May,100,378781
2019 Jun,100,378781
2019 Jul,100,378781
2019 Aug,99.60322580645162,377263.1612903226
2019 Sep,97.54666666666667,369497.7
2019 Oct,95.13225806451612,360361.1612903226
2019 Nov,94.18333333333334,356751.3
2019 Dec,93.66129032258064,354791.48387096776
2020 Jan,93.43870967741935,353949.48387096776
2020 Feb,93.61379310344827,354563.1034482759
2020 Mar,93.73870967741935,355012.93548387097
2020 Apr,94.22333333333333,356885.9
2020 May,95.1741935483871,360516.67741935485
2020 Jun,97.83333333333333,370576.3333333333
2020 Jul,96.35806451612903,364997.51612903224
2020 Aug,94.29677419354839,357169.48387096776
2020 Sep,93.26,353238.2
2020 Oct,91.86774193548388,347960.3870967742
2020 Nov,90.3,342023.56666666665
2020 Dec,89.26129032258065,338085.8064516129
2021 Jan,88.76451612903226,336234.3870967742
2021 Feb,88.33571428571429,334611.46428571426
2021 Mar,87.80322580645161,332584.96774193546
2021 Apr,86.93,329237.5333333333
2021 May,89.30967741935484,338287.0967741936
2021 Jun,92.91333333333333,351943.86666666664
2021 Jul,94.30967741935484,357230.22580645164
2021 Aug,94.96129032258065,359711.2580645161
2021 Sep,93.55,354356.5333333333
2021 Oct,97.16451612903226,368069.0967741936
2021 Nov,99.97666666666667,378712.43333333335
2021 Dec,99.67096774193548,377523.51612903224
2022 Jan,98.6741935483871,373754.4516129032
2022 Feb,98.40357142857142,372721
2022 Mar,97.83225806451613,370574
2022 Apr,97.01333333333334,367474.2
2022 May,96.04838709677419,363808.1612903226
2022 Jun,93.92,355742.9666666667
2022 Jul,91.24193548387096,345581.70967741933
2022 Aug,88.17096774193548,334000.12903225806
2022 Sep,86.15333333333334,326302.1666666667
2022 Oct,83.56451612903226,316546.6129032258
2022 Nov,81.55666666666667,308940.9
2022 Dec,80.34516129032258,304315.77419354836
2023 Jan,79.00322580645161,299239.87096774194
2023 Feb,78.09642857142858,295769.71428571426
2023 Mar,77.01290322580645,291696.29032258067
2023 Apr,76.25666666666666,288865.1666666667
2023 May,76.14516129032258,288427.3870967742
2023 Jun,75.41333333333334,285652.63333333336
2023 Jul,72.91612903225807,276193.03225806454
2023 Aug,69.74516129032259,264155.77419354836
2023 Sep,66.63333333333333,252411.93333333332
2023 Oct,64.1258064516129,242921.38709677418
2023 Nov,62.516666666666666,236811.8
2023 Dec,61.019354838709674,231141.70967741936
2024 Jan,60.10645161290323,227707.1935483871
2024 Feb,60.46551724137931,229000.7931034483
2024 Mar,60.02903225806452,227367.96774193548
2024 Apr,59.20666666666666,224247.3
2024 May,58.16129032258065,220295.93548387097
2024 Jun,57.13666666666667,216435.7
2024 Jul,56.05483870967742,212351.93548387097
2024 Aug,56.987096774193546,215862.25806451612
2024 Sep,55.46666666666667,210081.56666666668
2024 Oct,53.538709677419355,202797.16129032258
2024 Nov,52.04333333333333,197157.8
2024 Dec,50.76129032258064,192294.70967741936
